loss,values
12.09511,0.139585
7.483689,1.0407991
6.9977846,1.4163842
6.208935,1.4811875
5.6866155,1.2390846
4.7653356,0.8979047
5.69011,0.8309269
6.084948,0.962513
4.6010904,1.0009534
4.363295,1.3279543
4.19314,1.3668479
4.620653,1.3246665
5.2900763,1.1623325
6.092502,0.92272174
3.4633105,0.9801442
5.299238,1.5818565
4.6856174,0.76968664
4.0450335,0.91661876
5.549578,0.74998915
5.6128955,1.6289251
5.490413,0.9601711
6.5180483,1.4788939
6.0839725,0.6465148
5.59302,1.5905313
5.5476475,1.3434646
4.744274,1.0354543
4.8666873,1.1095512
5.317862,0.6834119
4.945653,0.90805787
5.09276,0.9505856
4.9270053,1.2968659
3.3306627,1.4767413
3.1287618,1.5614948
6.596856,1.9245064
6.9930105,-0.4072018
6.098715,1.6848171
5.960465,0.021787014
4.2817764,1.9364614
4.4694915,1.6414201
5.950556,2.643168
5.88967,1.5000355
6.469052,2.536447
6.5718155,1.0784686
10.768911,3.7554848
7.972542,-0.23469421
5.0807066,1.0668002
6.3129296,0.93793434
4.538091,1.6387393
4.422063,2.266192
7.2680173,2.0889864
4.241992,0.047348022
3.9091775,0.90229976
4.9646587,1.4390675
4.911024,0.6466998
5.5987673,1.1688719
5.4525967,0.67790824
3.4427361,1.7669277
9.828407,2.7229066
9.747302,-0.9320247
4.956468,1.4266236
7.7952633,2.027426
8.314455,-0.22622263
4.9826856,0.82727396
7.772215,3.0247319
6.051278,-0.19217737
4.900313,0.84228337
6.5322056,0.6327373
8.895071,2.5441298
10.637432,-0.4719429
5.646438,2.2619061
7.5027647,1.2597613
5.5350327,-0.046023846
9.236778,3.0097632
12.012817,-0.81172013
6.8739614,1.1465167
2.721805,3.1486325
4.146924,1.7511723
14.849427,6.664288
15.094855,-0.50368315
5.799151,1.9895964
4.0690084,0.9557146
22.047165,5.5183573
7.714012,-0.14055258
5.939827,1.1211183
4.3907804,1.9758
3.6155567,2.0231185
6.1940103,3.5375857
8.163221,-0.14817125
7.096261,0.55908406
3.3424606,2.0968547
12.523812,4.311058
8.774672,-0.0944535
4.745615,0.66722864
4.4717956,1.3740299
12.812678,3.6673274
5.788934,0.041668158
5.698406,0.61852086
5.566774,1.4656641
8.56219,-0.46678913
3.8418891,1.2446187
6.2646756,0.9563428
4.9128246,3.0679312
8.711192,0.4379056
7.699127,4.196354
17.642124,-1.6838694
8.907452,0.09208119
9.979357,2.8005548
8.41385,-0.36457226
4.54298,0.48350212
5.035169,1.2648944
3.849412,2.1455836
3.7224405,1.7291925
14.965752,5.435609
5.866072,-0.0756398
5.5290346,0.4381831
4.2740645,0.562451
4.2829247,0.8377162
6.0682425,1.1424443
5.098852,0.17538738
4.203355,0.65782523
4.961473,1.4981842
5.7740374,3.1002836
9.677575,-0.106809855
7.187116,0.813235
6.4822206,1.0674117
5.1012616,2.8525739
5.248941,0.41565946
3.492455,0.38033682
2.9196281,0.81658757
5.8445826,0.54885054
4.9483466,2.1105943
3.8880281,-0.06875074
5.4129276,0.6874603
6.6822853,1.4924569
7.6137624,0.040326323
6.4670305,0.7274343
5.8364587,2.3987622
11.102876,-0.26411313
4.411954,1.3340645
9.986009,3.3779693
13.894274,-0.35962453
7.254259,1.2445326
16.04327,5.14308
18.150219,-1.2887444
9.182176,1.5466589
6.550147,0.51270324
5.698626,4.064467
9.690763,0.48546186
4.924802,1.952632
5.906536,3.7154536
7.203599,0.35475272
3.5012078,2.8372846
3.2600918,1.9235823
3.4186728,3.0996032
3.3334525,2.447768
2.2417214,3.3405724
2.556601,2.079842
3.165156,4.754463
6.750132,0.9687046
6.171133,3.4693265
13.291909,-0.5077861
8.011216,1.3925309
4.269773,2.9112475
6.5343266,0.9133472
13.224325,4.6466165
