loss,values
6.549643,-0.3094375
5.4257383,0.21739525
5.4789033,0.4811711
6.3695374,0.66002965
5.2636056,1.1279832
5.972583,1.2084181
6.625383,0.87380815
7.70351,0.9948589
6.627593,1.0818412
5.222518,0.9522846
5.0277686,0.7576748
5.2424345,1.1424036
4.505151,1.3423448
4.151067,0.8355745
5.5935597,0.83031666
5.740757,1.107663
3.7539845,1.4584007
4.242539,1.7036586
5.230818,1.3319755
5.355915,0.55030876
5.1088457,0.9322666
5.2591457,0.51404536
5.711718,1.1358712
5.150785,0.9851667
5.7341704,1.1968114
4.610015,0.92515546
4.9344707,0.52397716
6.584288,2.0576339
6.2593,-0.33095682
5.242278,1.2814809
5.2430825,0.65947235
4.3384514,0.8115457
5.3518906,1.9013375
5.292403,0.57959557
4.6797047,0.4360507
3.6877031,1.3209786
4.7616663,0.6401617
5.1381187,1.117326
5.327123,0.29565573
5.7837973,1.1683027
4.1751957,1.1167245
2.7195415,1.7949264
5.5769362,1.8241348
6.4312587,-0.6908314
5.5389853,1.5616415
6.6114926,0.16473915
5.0707536,2.1620243
5.3135343,0.85731256
5.1174326,2.4353385
4.3841543,0.23649557
6.09503,1.0576124
4.123229,2.1241062
5.0766373,1.4714174
5.9822636,-0.09162677
3.6760786,1.5055933
6.159705,2.5913079
7.8557215,-0.35189074
4.376154,2.7136722
4.908818,1.0040641
7.015631,2.5901618
11.420164,-0.68958735
5.426616,1.0969763
6.3875923,2.1928747
8.734325,-0.67153305
6.062735,2.0249317
6.3300667,0.23792726
5.7743797,2.3059125
8.20274,-0.093939774
5.0851946,1.4176672
6.859423,2.2527864
7.0355115,-0.6464726
5.8529787,1.2434522
5.896684,0.23628792
6.259519,4.0779257
7.141164,-0.88913697
5.570308,1.3162668
3.8748713,1.715289
3.487412,2.2172036
4.845427,0.50803983
10.421936,4.196184
9.856396,-0.69614697
4.6410713,0.8930906
7.950793,-1.0413201
5.6945276,1.6490011
4.887354,-0.34346938
4.210603,1.9660604
11.507872,2.554
8.791855,0.16363332
10.8357935,2.3401217
8.477212,-0.19198127
3.7981007,1.3351731
4.5864115,0.846873
3.3943477,1.628608
4.467219,0.39424777
3.8896062,1.2085547
11.210186,4.199389
6.5609827,0.32863948
6.8367314,1.9991765
6.053032,-0.35087627
2.684097,0.9956176
4.181663,1.8138062
8.362991,0.17084816
4.923392,2.3836486
11.142176,-0.2815953
3.1209266,2.8364537
4.61532,1.9389513
8.821598,1.8187773
15.715006,-2.0236816
7.179305,1.0968051
27.11932,-2.7123082
10.422218,-0.15034224
35.376762,6.0639267
12.072046,-0.13116972
7.9260354,1.4726236
9.149239,3.012528
6.019339,-0.30605423
7.0019636,0.3999211
5.3335457,1.9493531
4.6027536,1.6866715
16.192167,3.418511
7.7511816,-0.16208215
7.112089,0.7743269
4.2499676,1.1471438
4.771336,2.007503
5.4394927,0.57911307
4.9288316,0.7541778
6.7276692,0.22394854
5.2820044,3.2410274
6.534878,0.74259377
5.0349917,3.0632849
4.292116,0.30659083
5.4152527,0.75750315
5.019915,1.6536775
5.5537634,2.5931156
5.751594,0.50894284
4.986334,1.673903
4.9261384,1.5713751
5.4366236,1.2783893
3.8811595,2.8090546
3.3369653,1.3478434
6.8282833,3.574657
8.439214,-0.30804598
8.136115,2.0905576
9.062244,0.22293313
